AccountID,CustomerID,AccountType,Balance,DateOpened,Status
1,1,saving,1500000,2020-05-01 09:00:00,active
2,2,saving,500000,2020-06-01 10:00:00,active
3,1,checking,25000000,2020-06-21 09:00:00,active
4,3,checking,4500000,2021-06-24 11:00:00,terminated
5,4,saving,75000000,2020-06-29 13:00:00,active
6,5,checking,1500000,2020-07-01 09:00:00,active
7,6,saving,15000000,2020-07-14 09:00:00,terminated
8,7,checking,25000000,2020-07-15 09:00:00,active
9,8,saving,80000000,2020-07-15 11:00:00,active
10,9,checking,25000000,2020-07-16 10:00:00,active
11,10,saving,75000000,2020-07-24 11:00:00,active
12,11,checking,25000000,2020-08-08 10:00:00,active
13,12,saving,55000000,2020-08-15 11:00:00,active
14,13,checking,25000000,2020-08-15 14:00:00,active
15,14,saving,45000000,2020-09-25 08:00:00,terminated
16,15,checking,25000000,2020-09-26 09:00:00,active
17,15,saving,10000000,2020-10-19 09:00:00,active
18,17,checking,25000000,2020-10-21 10:00:00,active
19,18,saving,55000000,2020-11-11 09:00:00,active
20,19,checking,25000000,2020-11-19 08:00:00,active
21,20,checking,6000000,2020-11-29 08:00:00,active
22,3,checking,4000000,2022-08-18 10:00:00,active
23,6,checking,5000000,2022-01-10 12:00:00,active
