date_key,full_date,year,quarter,month,month_name,week_of_year,day_of_month,day_of_week,day_name,is_weekend
20240101,2024-01-01,2024,1,1,January,1,1,2,Monday,False
20240102,2024-01-02,2024,1,1,January,1,2,3,Tuesday,False
20240103,2024-01-03,2024,1,1,January,1,3,4,Wednesday,False
20240104,2024-01-04,2024,1,1,January,1,4,5,Thursday,False
20240105,2024-01-05,2024,1,1,January,1,5,6,Friday,False
20240106,2024-01-06,2024,1,1,January,1,6,7,Saturday,True
20240107,2024-01-07,2024,1,1,January,2,7,1,Sunday,True
20240108,2024-01-08,2024,1,1,January,2,8,2,Monday,False
20240109,2024-01-09,2024,1,1,January,2,9,3,Tuesday,False
20240110,2024-01-10,2024,1,1,January,2,10,4,Wednesday,False
20240111,2024-01-11,2024,1,1,January,2,11,5,Thursday,False
20240112,2024-01-12,2024,1,1,January,2,12,6,Friday,False
20240113,2024-01-13,2024,1,1,January,2,13,7,Saturday,True
20240114,2024-01-14,2024,1,1,January,3,14,1,Sunday,True
20240115,2024-01-15,2024,1,1,January,3,15,2,Monday,False
20240116,2024-01-16,2024,1,1,January,3,16,3,Tuesday,False
20240117,2024-01-17,2024,1,1,January,3,17,4,Wednesday,False
20240118,2024-01-18,2024,1,1,January,3,18,5,Thursday,False
20240119,2024-01-19,2024,1,1,January,3,19,6,Friday,False
20240120,2024-01-20,2024,1,1,January,3,20,7,Saturday,True
20240121,2024-01-21,2024,1,1,January,4,21,1,Sunday,True
20240122,2024-01-22,2024,1,1,January,4,22,2,Monday,False
20240123,2024-01-23,2024,1,1,January,4,23,3,Tuesday,False
20240124,2024-01-24,2024,1,1,January,4,24,4,Wednesday,False
20240125,2024-01-25,2024,1,1,January,4,25,5,Thursday,False
20240126,2024-01-26,2024,1,1,January,4,26,6,Friday,False
20240127,2024-01-27,2024,1,1,January,4,27,7,Saturday,True
20240128,2024-01-28,2024,1,1,January,5,28,1,Sunday,True
20240129,2024-01-29,2024,1,1,January,5,29,2,Monday,False
20240130,2024-01-30,2024,1,1,January,5,30,3,Tuesday,False
20240131,2024-01-31,2024,1,1,January,5,31,4,Wednesday,False
20240201,2024-02-01,2024,1,2,February,5,1,5,Thursday,False
20240202,2024-02-02,2024,1,2,February,5,2,6,Friday,False
20240203,2024-02-03,2024,1,2,February,5,3,7,Saturday,True
20240204,2024-02-04,2024,1,2,February,6,4,1,Sunday,True
20240205,2024-02-05,2024,1,2,February,6,5,2,Monday,False
20240206,2024-02-06,2024,1,2,February,6,6,3,Tuesday,False
20240207,2024-02-07,2024,1,2,February,6,7,4,Wednesday,False
20240208,2024-02-08,2024,1,2,February,6,8,5,Thursday,False
20240209,2024-02-09,2024,1,2,February,6,9,6,Friday,False
20240210,2024-02-10,2024,1,2,February,6,10,7,Saturday,True
20240211,2024-02-11,2024,1,2,February,7,11,1,Sunday,True
20240212,2024-02-12,2024,1,2,February,7,12,2,Monday,False
20240213,2024-02-13,2024,1,2,February,7,13,3,Tuesday,False
20240214,2024-02-14,2024,1,2,February,7,14,4,Wednesday,False
20240215,2024-02-15,2024,1,2,February,7,15,5,Thursday,False
20240216,2024-02-16,2024,1,2,February,7,16,6,Friday,False
20240217,2024-02-17,2024,1,2,February,7,17,7,Saturday,True
20240218,2024-02-18,2024,1,2,February,8,18,1,Sunday,True
20240219,2024-02-19,2024,1,2,February,8,19,2,Monday,False
20240220,2024-02-20,2024,1,2,February,8,20,3,Tuesday,False
20240221,2024-02-21,2024,1,2,February,8,21,4,Wednesday,False
20240222,2024-02-22,2024,1,2,February,8,22,5,Thursday,False
20240223,2024-02-23,2024,1,2,February,8,23,6,Friday,False
20240224,2024-02-24,2024,1,2,February,8,24,7,Saturday,True
20240225,2024-02-25,2024,1,2,February,9,25,1,Sunday,True
20240226,2024-02-26,2024,1,2,February,9,26,2,Monday,False
20240227,2024-02-27,2024,1,2,February,9,27,3,Tuesday,False
20240228,2024-02-28,2024,1,2,February,9,28,4,Wednesday,False
20240229,2024-02-29,2024,1,2,February,9,29,5,Thursday,False
20240301,2024-03-01,2024,1,3,March,9,1,6,Friday,False
20240302,2024-03-02,2024,1,3,March,9,2,7,Saturday,True
20240303,2024-03-03,2024,1,3,March,10,3,1,Sunday,True
20240304,2024-03-04,2024,1,3,March,10,4,2,Monday,False
20240305,2024-03-05,2024,1,3,March,10,5,3,Tuesday,False
20240306,2024-03-06,2024,1,3,March,10,6,4,Wednesday,False
20240307,2024-03-07,2024,1,3,March,10,7,5,Thursday,False
20240308,2024-03-08,2024,1,3,March,10,8,6,Friday,False
20240309,2024-03-09,2024,1,3,March,10,9,7,Saturday,True
20240310,2024-03-10,2024,1,3,March,11,10,1,Sunday,True
20240311,2024-03-11,2024,1,3,March,11,11,2,Monday,False
20240312,2024-03-12,2024,1,3,March,11,12,3,Tuesday,False
20240313,2024-03-13,2024,1,3,March,11,13,4,Wednesday,False
20240314,2024-03-14,2024,1,3,March,11,14,5,Thursday,False
20240315,2024-03-15,2024,1,3,March,11,15,6,Friday,False
20240316,2024-03-16,2024,1,3,March,11,16,7,Saturday,True
20240317,2024-03-17,2024,1,3,March,12,17,1,Sunday,True
20240318,2024-03-18,2024,1,3,March,12,18,2,Monday,False
20240319,2024-03-19,2024,1,3,March,12,19,3,Tuesday,False
20240320,2024-03-20,2024,1,3,March,12,20,4,Wednesday,False
20240321,2024-03-21,2024,1,3,March,12,21,5,Thursday,False
20240322,2024-03-22,2024,1,3,March,12,22,6,Friday,False
20240323,2024-03-23,2024,1,3,March,12,23,7,Saturday,True
