time_key,full_time,hour,minute,second,period,shift
0,00:00:00.0000000,0,0,0,AM,Night
1,00:00:01.0000000,0,0,1,AM,Night
2,00:00:02.0000000,0,0,2,AM,Night
3,00:00:03.0000000,0,0,3,AM,Night
4,00:00:04.0000000,0,0,4,AM,Night
5,00:00:05.0000000,0,0,5,AM,Night
6,00:00:06.0000000,0,0,6,AM,Night
7,00:00:07.0000000,0,0,7,AM,Night
8,00:00:08.0000000,0,0,8,AM,Night
9,00:00:09.0000000,0,0,9,AM,Night
10,00:00:10.0000000,0,0,10,AM,Night
11,00:00:11.0000000,0,0,11,AM,Night
12,00:00:12.0000000,0,0,12,AM,Night
13,00:00:13.0000000,0,0,13,AM,Night
14,00:00:14.0000000,0,0,14,AM,Night
15,00:00:15.0000000,0,0,15,AM,Night
16,00:00:16.0000000,0,0,16,AM,Night
17,00:00:17.0000000,0,0,17,AM,Night
18,00:00:18.0000000,0,0,18,AM,Night
19,00:00:19.0000000,0,0,19,AM,Night
20,00:00:20.0000000,0,0,20,AM,Night
21,00:00:21.0000000,0,0,21,AM,Night
22,00:00:22.0000000,0,0,22,AM,Night
23,00:00:23.0000000,0,0,23,AM,Night
24,00:00:24.0000000,0,0,24,AM,Night
25,00:00:25.0000000,0,0,25,AM,Night
26,00:00:26.0000000,0,0,26,AM,Night
27,00:00:27.0000000,0,0,27,AM,Night
28,00:00:28.0000000,0,0,28,AM,Night
29,00:00:29.0000000,0,0,29,AM,Night
30,00:00:30.0000000,0,0,30,AM,Night
31,00:00:31.0000000,0,0,31,AM,Night
32,00:00:32.0000000,0,0,32,AM,Night
33,00:00:33.0000000,0,0,33,AM,Night
34,00:00:34.0000000,0,0,34,AM,Night
35,00:00:35.0000000,0,0,35,AM,Night
36,00:00:36.0000000,0,0,36,AM,Night
37,00:00:37.0000000,0,0,37,AM,Night
38,00:00:38.0000000,0,0,38,AM,Night
39,00:00:39.0000000,0,0,39,AM,Night
40,00:00:40.0000000,0,0,40,AM,Night
41,00:00:41.0000000,0,0,41,AM,Night
42,00:00:42.0000000,0,0,42,AM,Night
43,00:00:43.0000000,0,0,43,AM,Night
44,00:00:44.0000000,0,0,44,AM,Night
45,00:00:45.0000000,0,0,45,AM,Night
46,00:00:46.0000000,0,0,46,AM,Night
47,00:00:47.0000000,0,0,47,AM,Night
48,00:00:48.0000000,0,0,48,AM,Night
49,00:00:49.0000000,0,0,49,AM,Night
50,00:00:50.0000000,0,0,50,AM,Night
51,00:00:51.0000000,0,0,51,AM,Night
52,00:00:52.0000000,0,0,52,AM,Night
53,00:00:53.0000000,0,0,53,AM,Night
54,00:00:54.0000000,0,0,54,AM,Night
55,00:00:55.0000000,0,0,55,AM,Night
56,00:00:56.0000000,0,0,56,AM,Night
